title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,new_location,new_continent
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,16-08-2023 12:47,7,4,green,0,657,us,114,7.177,25.0,mww,192.955,-13.8814,167.158,Vanuatu,Oceania
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,19-07-2023 00:22,8,6,yellow,0,775,us,92,0.679,40.0,mww,69.727,12.814,-88.1265,El Salvador,North America
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,17-07-2023 03:05,7,5,green,0,899,us,70,1.634,28.0,mww,171.371,-38.1911,-70.3731,Argentina,South America
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,16-07-2023 06:48,6,6,green,1,860,us,173,0.907,36.0,mww,32.571,54.3844,-160.699,United States,North America
M 7.3 - Alaska Peninsula,7.3,16-07-2023 06:48,0,5,Unknown,1,820,at,79,0.879451,172.8,Mi,21.0,54.49,-160.796,United States,North America
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,10-07-2023 20:28,5,4,green,1,802,us,95,2.454,37.0,mww,10.0,20.0196,-61.0955,Antigua and Barbuda,North America
M 6.9 - Tonga,6.9,02-07-2023 10:27,4,4,green,1,741,us,136,1.179,23.0,mww,229.0,-17.853,-174.937,Tonga,Oceania
M 7.2 - south of the Fiji Islands,7.2,15-06-2023 18:06,8,6,green,1,804,us,85,2.59,24.0,mww,167.404,-22.9824,-177.208,Fiji,Oceania
M 6.6 - Panama-Colombia border region,6.6,25-05-2023 03:05,6,6,green,1,733,us,50,2.163,129.0,mww,10.0,8.8894,-77.1231,Colombia,South America
M 7.1 - southeast of the Loyalty Islands,7.1,20-05-2023 01:51,3,4,green,1,777,us,98,2.812,56.0,mww,35.981,-23.0622,170.456,Unknown,Unknown
M 7.7 - southeast of the Loyalty Islands,7.7,19-05-2023 02:57,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.2286,170.694,Unknown,Unknown
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,10-05-2023 16:02,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6002,-174.608,Tonga,Oceania
M 6.6 - south of the Fiji Islands,6.6,28-04-2023 03:13,0,2,green,0,670,us,52,5.123,50.0,mww,598.467,-25.2657,178.424,Fiji,Oceania
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,24-04-2023 20:00,9,7,green,0,838,us,70,2.282,58.0,mww,15.462,-0.781,98.5339,Indonesia,Asia
"M 7.1 - Kermadec Islands, New Zealand",7.1,24-04-2023 00:41,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.0249,-177.897,New Zealand,Oceania
M 6.7 - south of the Fiji Islands,6.7,18-04-2023 04:31,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.2844,179.391,Fiji,Oceania
"M 7.0 - 96 km N of Tuban, Indonesia",7.0,14-04-2023 09:55,5,3,green,0,818,us,131,1.881,31.0,mww,594.028,-6.0255,112.033,Indonesia,Asia
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,03-04-2023 03:06,7,6,yellow,1,655,us,104,0.266,30.0,mww,105.631,52.7772,158.484,Russia,Europe
"M 7.0 - New Guinea, Papua New Guinea",7.0,02-04-2023 18:04,7,7,green,1,781,us,105,6.45,31.0,mww,62.603,-4.2924,143.155,Papua New Guinea,Oceania
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,22-03-2023 16:00,4,4,green,0,656,us,97,1.622,33.0,mww,209.976,-23.4797,-66.5108,Argentina,South America
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,21-03-2023 16:47,7,5,green,0,1350,us,134,2.53,13.0,mww,187.589,36.5227,70.9787,Afghanistan,Asia
M 6.8 - near the coast of Ecuador,6.8,18-03-2023 17:12,9,7,orange,1,1159,us,152,0.709,28.0,mww,65.842,-2.851,-79.8001,Ecuador,South America
M 7.0 - Kermadec Islands region,7.0,16-03-2023 00:56,8,5,green,1,756,us,116,1.789,22.0,mww,22.065,-30.1147,-176.112,Unknown,Unknown
